timestamp,,e_point,n_point,e_cur,n_cur,Cur_head,Head_ref,,Head_command,
1.65661E+12,24472.22998,0,0,1.765,1.164,79.47736359,0.052359878,3,-0.20943951,-6
1.65661E+12,24579.33984,0,0,1.763,1.163,77.76020813,0.052359878,3,-0.20943951,-6
1.65661E+12,24681.07983,0,0,1.761,1.164,76.39565277,0.052359878,3,-0.20943951,-6
1.65661E+12,24783.58984,0,0,1.761,1.164,74.26364899,0.052359878,3,-0.20943951,-6
1.65661E+12,24885.16992,0,0,1.76,1.166,73.4387207,0.052359878,3,-0.20943951,-6
1.65661E+12,24986.19995,0,0,1.758,1.167,72.20037079,0.052359878,3,-0.20943951,-6
1.65661E+12,25088.41992,0,0,1.758,1.167,70.94865417,0.052359878,3,-0.20943951,-6
1.65661E+12,25192.08984,0,0,1.757,1.168,69.91172791,0.052359878,3,-0.20943951,-6
1.65661E+12,25296.22998,0,0,1.757,1.168,69.37728882,0.052359878,3,-0.20943951,-6
1.65661E+12,25399.05005,0,0,1.755,1.171,69.08874512,0.052359878,3,-0.20943951,-6
1.65661E+12,25499.95996,0,0,1.754,1.174,68.84859467,0.052359878,3,-0.20943951,-6
1.65661E+12,25601.48999,0,0,1.754,1.174,68.63535309,0.052359878,3,-0.20943951,-6
1.65661E+12,25702.54004,0,0,1.754,1.176,68.56765747,0.052359878,3,-0.20943951,-6
1.65661E+12,25803.58984,0,0,1.753,1.174,69.1042099,0.052359878,3,-0.20943951,-6
1.65661E+12,25904.58984,0,0,1.753,1.174,69.17704773,0.052359878,3,-0.20943951,-6
1.65661E+12,26006.06982,0,0,1.753,1.17,68.25782013,0.052359878,3,-0.20943951,-6
1.65661E+12,26106.94995,0,0,1.752,1.162,68.07815552,0.052359878,3,-0.20943951,-6
1.65661E+12,26208.12988,0,0,1.752,1.162,67.41051483,0.052359878,3,-0.20943951,-6
1.65661E+12,26310.13989,0,0,1.75,1.155,66.21471405,0.052359878,3,-0.20943951,-6
1.65661E+12,26412.85986,0,0,1.75,1.155,65.06223297,0.052359878,3,-0.20943951,-6
1.65661E+12,26515.32983,0,0,1.749,1.152,63.87931061,0.052359878,3,-0.20943951,-6
1.65661E+12,26616.34985,0,0,1.746,1.154,62.55772018,0.052359878,3,-0.20943951,-6
1.65661E+12,26717.23999,0,0,1.746,1.154,61.09497833,0.052359878,3,-0.20943951,-6
1.65661E+12,26818.31982,0,0,1.744,1.161,59.76603699,0.052359878,3,-0.20943951,-6
1.65661E+12,26922.13989,0,0,1.741,1.168,59.08442688,0.052359878,3,-0.20943951,-6
1.65661E+12,27023.05981,0,0,1.741,1.168,58.22934723,0.052359878,3,-0.20943951,-6
1.65661E+12,27127.38989,0,0,1.739,1.175,57.14881897,0.052359878,3,-0.20943951,-6
1.65661E+12,27229.85986,0,0,1.737,1.18,56.69644928,0.052359878,3,-0.20943951,-6
1.65661E+12,27332.09985,0,0,1.737,1.18,56.04593277,0.052359878,3,-0.20943951,-6
1.65661E+12,27437.06982,0,0,1.737,1.183,55.42916107,0.052359878,3,-0.20943951,-6
1.65661E+12,27542.72998,0,0,1.738,1.185,55.11379623,0.052359878,3,-0.20943951,-6
1.65661E+12,27645.46997,0,0,1.738,1.185,54.80876923,0.052359878,3,-0.20943951,-6
1.65661E+12,27752.30005,0,0,1.74,1.188,54.34009552,0.052359878,3,-0.20943951,-6
1.65661E+12,27856.54004,0,0,1.74,1.188,54.14697647,0.052359878,3,-0.20943951,-6
1.65661E+12,27958.45996,0,0,1.742,1.19,53.79839325,0.052359878,3,-0.20943951,-6
1.65661E+12,28063.34985,0,0,1.743,1.192,52.70189667,0.052359878,3,-0.20943951,-6
1.65661E+12,28169.02002,0,0,1.743,1.192,52.05318451,0.052359878,3,-0.20943951,-6
1.65661E+12,28271.13989,0,0,1.743,1.194,51.35763931,0.052359878,3,-0.20943951,-6
1.65661E+12,28374.80981,0,0,1.742,1.195,49.91461182,0.052359878,3,-0.204703611,-5.864326477
1.65661E+12,28476.73999,0,0,1.742,1.195,48.79067612,0.052359878,3,-0.199799516,-5.723834515
1.65661E+12,28589.38989,0,0,1.74,1.197,47.74340057,0.052359878,3,-0.195229915,-5.592925072
1.65661E+12,28691.48999,0,0,1.736,1.198,46.10810471,0.052359878,3,-0.18809459,-5.388513088
1.65661E+12,28795.53003,0,0,1.736,1.198,45.20202637,0.052359878,3,-0.184141078,-5.275253296
1.65661E+12,28897.23999,0,0,1.734,1.199,44.58217239,0.052359878,3,-0.181436455,-5.197771549
1.65661E+12,29000.97998,0,0,1.733,1.201,43.05933762,0.052359878,3,-0.174791834,-5.007417202
1.65661E+12,29103.58984,0,0,1.733,1.201,42.19756699,0.052359878,3,-0.171031651,-4.899695873
1.65661E+12,29205.38989,0,0,1.733,1.203,41.56740189,0.052359878,3,-0.168282037,-4.820925236
1.65661E+12,29309.63989,0,0,1.734,1.206,41.12113571,0.052359878,3,-0.166334833,-4.765141964
1.65661E+12,29416.75,0,0,1.734,1.206,40.79420471,0.052359878,3,-0.164908328,-4.724275589
1.65661E+12,29520.86987,0,0,1.735,1.209,40.70081329,0.052359878,3,-0.164500831,-4.712601662
1.65661E+12,29623.73999,0,0,1.735,1.209,40.56224823,0.052359878,3,-0.163896227,-4.695281029
1.65661E+12,29725.96997,0,0,1.735,1.212,40.43669891,0.052359878,3,-0.163348414,-4.679587364
1.65661E+12,29830.48999,0,0,1.733,1.214,40.61658096,0.052359878,3,-0.164133298,-4.70207262
1.65661E+12,29936.34985,0,0,1.733,1.214,40.73944473,0.052359878,3,-0.164669392,-4.717430592
